user_id,subscription_type,country,avg_daily_minutes,number_of_playlists,top_genre,skips_per_day,support_tickets,days_since_last_login,churned,intensity_percentile,negative_feedback_density,support_load_score,segment_skip_rank,rolling_7d_intensity_avg
user_99,Premium,BR,184.6,3,Rock,7,1,0,0,0.986986986986987,0.03791982665222102,0.005417118093174431,92,184.6
user_87,Premium,PK,138.7,6,Rock,4,0,0,0,0.8288288288288288,0.028839221341023794,0.0,314,161.64999999999998
user_870,Premium,FR,90.5,3,Rock,5,0,0,0,0.4344344344344344,0.055248618784530384,0.0,238,137.9333333333333
user_875,Premium,FR,135.1,8,Pop,7,0,0,0,0.7967967967967968,0.05181347150259068,0.0,92,137.225
user_573,Premium,DE,53.6,8,Country,0,1,0,1,0.17317317317317318,0.0,0.018656716417910446,575,120.5
user_735,Premium,BR,117.6,3,Rock,7,0,0,0,0.6556556556556556,0.05952380952380953,0.0,92,120.01666666666667
user_757,Premium,BR,143.0,5,Rock,6,0,0,0,0.8628628628628628,0.04195804195804196,0.0,155,123.3
user_521,Premium,BR,155.7,6,Hip-Hop,6,0,0,0,0.91991991991992,0.03853564547206166,0.0,155,127.35
user_200,Premium,BR,141.0,6,Classical,0,0,0,0,0.8538538538538538,0.0,0.0,575,121.9
user_140,Premium,PK,70.2,10,Hip-Hop,0,0,0,0,0.2732732732732733,0.0,0.0,575,113.3375
user_571,Premium,IN,71.8,5,Country,11,0,0,0,0.2872872872872873,0.15320334261838442,0.0,7,111.0
user_242,Premium,BR,128.4,5,Pop,6,1,0,0,0.7357357357357357,0.04672897196261682,0.00778816199376947,155,110.1625
user_631,Premium,US,170.2,7,Hip-Hop,1,0,0,0,0.960960960960961,0.005875440658049354,0.0,530,124.73749999999998
user_575,Premium,UK,72.1,5,Jazz,11,0,0,0,0.2902902902902903,0.15256588072122054,0.0,7,119.05
user_525,Premium,BR,120.0,3,Electronic,6,0,0,0,0.6696696696696697,0.05,0.0,155,116.175
user_954,Premium,BR,128.0,1,Electronic,1,0,0,0,0.7337337337337337,0.0078125,0.0,530,112.71249999999999
user_554,Premium,IN,104.6,1,Classical,1,0,0,0,0.5615615615615616,0.009560229445506692,0.0,530,108.1625
user_553,Premium,BR,121.2,2,Electronic,7,0,0,0,0.6826826826826827,0.057755775577557754,0.0,92,114.53750000000001
user_621,Premium,IN,103.9,1,Country,1,0,0,0,0.5535535535535535,0.009624639076034648,0.0,530,118.55000000000001
user_730,Premium,IN,109.4,7,Country,1,0,0,0,0.5885885885885885,0.009140767824497258,0.0,530,116.175
user_494,Premium,CA,128.4,4,Classical,1,2,0,0,0.7357357357357357,0.00778816199376947,0.01557632398753894,530,110.95
user_703,Premium,PK,130.1,5,Pop,6,1,0,0,0.7527527527527528,0.046118370484242895,0.007686395080707149,155,118.2
user_179,Premium,BR,86.7,8,Rock,7,0,0,0,0.4014014014014014,0.08073817762399077,0.0,92,114.03750000000001
user_676,Premium,RU,86.6,2,Country,7,0,0,0,0.3983983983983984,0.08083140877598154,0.0,92,108.86250000000001
user_31,Premium,UK,62.4,4,Electronic,5,0,0,0,0.23723723723723725,0.08012820512820513,0.0,238,103.5875
user_629,Premium,PK,126.2,5,Country,2,0,0,0,0.7217217217217218,0.01584786053882726,0.0,477,104.21250000000002
user_35,Premium,BR,137.6,9,Classical,2,0,0,0,0.8218218218218218,0.014534883720930232,0.0,477,108.425
user_467,Premium,US,74.9,6,Hip-Hop,5,0,0,0,0.3153153153153153,0.06675567423230974,0.0,238,104.1125
user_260,Premium,IN,85.2,6,Electronic,10,0,0,0,0.38738738738738737,0.11737089201877934,0.0,17,98.71249999999999
user_894,Premium,CA,117.0,6,Jazz,2,0,0,0,0.6506506506506506,0.017094017094017096,0.0,477,97.075
user_860,Premium,FR,124.0,6,Jazz,13,0,0,0,0.7047047047047047,0.10483870967741936,0.0,2,101.7375
user_535,Premium,RU,104.3,5,Rock,2,0,0,0,0.5585585585585585,0.019175455417066157,0.0,477,103.94999999999999
user_844,Premium,FR,140.9,7,Jazz,5,0,0,0,0.8508508508508509,0.035486160397444996,0.0,238,113.7625
user_849,Premium,US,125.5,6,Pop,5,0,0,0,0.7157157157157157,0.0398406374501992,0.0,238,113.675
user_15,Premium,DE,129.7,4,Electronic,2,0,0,0,0.7467467467467468,0.015420200462606014,0.0,477,112.6875
user_582,Premium,UK,106.4,4,Country,2,0,0,0,0.5785785785785785,0.018796992481203006,0.0,477,116.62499999999999
user_828,Premium,AU,99.2,8,Electronic,2,0,0,0,0.5115115115115115,0.020161290322580645,0.0,477,118.37500000000001
user_858,Premium,US,93.8,4,Jazz,5,0,0,0,0.4674674674674675,0.05330490405117271,0.0,238,115.47500000000001
user_630,Premium,US,125.3,4,Rock,5,0,0,0,0.7127127127127127,0.03990422984836393,0.0,238,115.63749999999999
user_496,Premium,BR,116.7,2,Hip-Hop,3,0,0,0,0.6466466466466466,0.02570694087403599,0.0,395,117.1875
user_469,Premium,DE,63.7,5,Jazz,4,0,0,0,0.24224224224224225,0.06279434850863422,0.0,314,107.53750000000001
user_559,Premium,FR,140.2,6,Pop,3,0,0,0,0.8438438438438438,0.02139800285306705,0.0,395,109.375
user_914,Premium,RU,161.6,0,Pop,4,0,0,0,0.938938938938939,0.024752475247524754,0.0,314,113.36250000000003
user_383,Premium,UK,158.7,6,Jazz,4,0,0,0,0.9319319319319319,0.025204788909892882,0.0,314,119.9
user_963,Premium,UK,85.7,6,Electronic,4,0,0,0,0.3923923923923924,0.046674445740956826,0.0,314,118.2125
user_191,Premium,IN,120.6,5,Pop,3,0,0,0,0.6776776776776777,0.024875621890547265,0.0,395,121.56250000000001
user_327,Premium,FR,137.1,8,Electronic,3,0,0,0,0.8168168168168168,0.02188183807439825,0.0,395,123.03750000000002
user_495,Premium,US,136.4,5,Rock,3,0,0,0,0.8108108108108109,0.0219941348973607,0.0,395,125.50000000000001
user_261,Premium,DE,126.3,0,Jazz,4,0,0,0,0.7227227227227228,0.03167062549485353,0.0,314,133.325
user_983,Premium,CA,162.9,2,Electronic,3,0,0,0,0.9429429429429429,0.018416206261510127,0.0,395,136.1625
user_92,Premium,CA,77.8,3,Pop,9,1,0,0,0.32932932932932935,0.11568123393316196,0.012853470437017995,31,125.68749999999999
user_255,Premium,UK,99.7,8,Country,4,0,0,0,0.5185185185185185,0.04012036108324975,0.0,314,118.31249999999999
user_763,Premium,CA,140.6,8,Country,4,1,0,1,0.8488488488488488,0.02844950213371266,0.007112375533428165,314,125.175
user_490,Premium,UK,107.7,3,Hip-Hop,3,2,0,0,0.5835835835835835,0.027855153203342618,0.018570102135561744,395,123.56250000000001
user_456,Premium,FR,171.3,6,Rock,3,1,0,0,0.965965965965966,0.017513134851138354,0.005837711617046118,395,127.8375
user_69,Premium,AU,74.4,4,Rock,8,0,0,0,0.3103103103103103,0.1075268817204301,0.0,55,120.08749999999999
user_933,Premium,AU,139.2,5,Pop,4,0,0,0,0.8328328328328328,0.02873563218390805,0.0,314,121.69999999999999
user_42,Premium,UK,80.4,6,Pop,8,0,0,0,0.35935935935935936,0.09950248756218905,0.0,55,111.3875
user_989,Premium,IN,139.9,3,Rock,8,0,0,0,0.8398398398398398,0.057183702644746245,0.0,55,119.14999999999998
user_643,Premium,US,96.5,3,Rock,2,1,0,0,0.4844844844844845,0.02072538860103627,0.010362694300518135,477,118.75
user_477,Premium,AU,113.7,3,Hip-Hop,4,0,0,0,0.6206206206206206,0.03518029903254177,0.0,314,115.3875
user_282,Premium,RU,130.4,1,Hip-Hop,4,1,0,0,0.7557557557557557,0.03067484662576687,0.007668711656441718,314,118.225
user_309,Premium,DE,142.8,5,Country,5,0,0,0,0.8618618618618619,0.0350140056022409,0.0,238,114.6625
user_457,Free,RU,62.1,4,Country,2,0,0,0,0.23323323323323322,0.0322061191626409,0.0,289,113.12500000000001
user_394,Free,UK,77.8,1,Jazz,8,0,0,0,0.32932932932932935,0.10282776349614396,0.0,34,105.45
user_173,Free,PK,51.9,0,Hip-Hop,12,0,0,0,0.15915915915915915,0.23121387283236994,0.0,3,101.88749999999999
user_409,Free,US,104.8,1,Hip-Hop,4,2,0,1,0.5635635635635635,0.03816793893129771,0.019083969465648856,190,97.49999999999999
user_36,Free,US,43.0,5,Classical,7,0,0,0,0.1111111111111111,0.16279069767441862,0.0,55,90.8125
user_655,Free,FR,22.3,3,Jazz,4,0,0,0,0.02902902902902903,0.17937219730941703,0.0,190,79.3875
user_821,Free,RU,74.2,1,Electronic,7,0,0,0,0.3073073073073073,0.09433962264150943,0.0,55,72.3625
user_613,Free,CA,86.7,3,Classical,6,0,0,0,0.4014014014014014,0.06920415224913494,0.0,90,65.35000000000001
user_546,Free,UK,-8.9,0,Classical,0,0,0,0,0.005005005005005005,-0.0,-0.0,353,56.475
user_725,Free,PK,44.5,1,Jazz,4,0,0,0,0.12012012012012012,0.0898876404494382,0.0,190,52.3125
user_910,Free,RU,90.7,6,Country,6,0,0,0,0.4364364364364364,0.0661521499448732,0.0,90,57.1625
user_199,Free,IN,74.8,2,Pop,2,0,0,0,0.31431431431431434,0.026737967914438502,0.0,289,53.412499999999994
user_684,Free,FR,-6.2,4,Country,7,0,0,1,0.006006006006006006,-1.129032258064516,-0.0,55,47.2625
user_602,Free,CA,75.7,3,Rock,5,0,0,0,0.31931931931931934,0.06605019815059444,0.0,142,53.9375
user_939,Free,US,123.7,4,Rock,10,0,0,0,0.7017017017017017,0.08084074373484236,0.0,10,60.125
user_171,Free,FR,53.1,3,Hip-Hop,10,0,0,0,0.16916916916916916,0.18832391713747645,0.0,10,55.925000000000004
